ID;Time;User.ID;Book.ID;Page;State;Type.Code;Difficulty..1.5.;Background.Knowledge.Needed..1.5.;Graesser.Inference.Type;Question;Response;Glenn.s.rating;Amber.s.rating;Final.rating;Text.used.to.make.inference
20;16/06/2018 00:31;246;2;1;0;98;2;1;Character emotional reaction;How does Shiranna feel as the shuttle is taking off?;Shiranna feels excited and scared as the shuttle is taking off and it even affects her heart-rate and her temperature.;1;1;1;Just the thought of leaving Earth both thrilled and terrified her… Her heart stopped as the trailer-sized shuttle moved forward on the track without making a sound. She took in a deep breath. …she said, trying to be brave ….
103;14/06/2018 12:13;237;2;4;0;98;1;3;casual antecedent;Why did her body want to float?;There is no gravity in space.;1;1;1;Using its accumulated momentum, the space shuttle bulleted off the track and into Earth's orbit, leaving her home on Earth far behind.After the g-force died down, Shiranna opened her eyes and looked outside her window. She thought she was going to be able to see the entire planet from the space shuttle, but she was still too close to Earth. Though seatbelts strapped her down to her chair, her body wanted to float.
187;16/06/2018 22:21;250;2;7;0;98;2;4;Character emotional reaction;Why do Adam cheeks “flush”?;maybe he was embarrassed.;1;1;1;"She placed her left hand on her son's shoulder. ""My name is Olivia Mosby, and this is my son--Adam. Since you both look around the same age, I thought you would like to meet each other."" Shiranna looked at Adam. His cheeks were flushed."
291;14/06/2018 19:29;240;2;11;0;98;2;1;casual antecedent;Why is the door locked?;There was a meeting for adults only to discuss a concern on the shuttle.;1;1;1;"""Ladies and gentlemen, this is your captain speaking. There is something I would like to discuss with all of the adults inside the cockpit. We have run into an unusual problem.""Shiranna watched Mrs. Mosby glance at the cockpit and then back at Adam. Mrs. Mosby looked confused. After a brief pause, she headed toward the cockpit and became the last adult to enter inside its quarters. The cockpit's door slid shut. Shiranna's eyes narrowed. She glanced at Adam.""Well, come on,"" she said. Adam looked even more confused than his mother.""Come on and do what?"" he asked. Shiranna grabbed one of the handrails and started making her way to the cockpit's door. …Shiranna said, ""The captain said he wanted to speak with all of us inside the cockpit. Hurry or we might miss something."" Adam was left floating behind.He said, ""The captain said he wanted to speak with all of the adults inside the cockpit."" Shiranna stopped and turned around. She tried to make her face look as stern and adult-like as possible.""There are nine people on this shuttle and that's including us. The captain needs all the brain power he can get. So, are you coming or not?""""I guess..."" Adam said.When they arrived at the door, Shiranna tried to open it, but it was sealed shut."
369;15/06/2018 18:16;245;2;16;0;98;2;2;Instantiation of noun category;Why does Shiranna’s father get sucked into a black hole in her nightmare?;Shiranna must have passed out and imagined her father there.  I think he gets sucked into a black hole because that represents the fact that he disappeared and no one knows where he went.  When things go into a black hole it usually means it has disappeare;1;1;1;Shiranna had become rigid.  Her entire body was frozen.  It was as if she was already dead and her limbs had been paralyzed by rigor mortis.  All she could think about was her father and how she might share his same fate.
437;16/06/2018 01:10;246;2;19;0;98;2;1;Character emotional reaction AND casual consequence;How do you think Shiranna’s confidence has changed? What events caused this change?;Shiranna felt  more confident and proud because she could share her P.A.I.R. Cheeky with the captain to help reprogram the circuit panels.;1;1;1;"She had read about it in one of her dad's old school books. The books had been saved by her mom. They were one of the many ways she remembered him by.""Your dad was a brilliant man,"" her mom once told her. ""He was one of the hundred--out of the millions of applicants on all of Earth--who was accepted into the ISS's space engineering program.""The texts had been hard to read. Most of the time, Shiranna had found them outright confusing, but she had kept at it. It was one of the few ways she had felt like she could connect with her father. And now that relationship, which had never been anything more than a dream, was going to save her. It had to. She hugged Mrs. Mosby, and then she turned towards the captain.""We need to turn this ship into a giant solenoid,"" Shiranna said. All of the adults looked at her like she was mad. Most of them had no idea what a solenoid was or if it was even a real word.""What is she talking about,"" Mrs. Mosby asked. The captain pinched his chin between his thumb and forefinger, ignoring Mrs. Mosby's question.Shiranna watched as the adults' attitudes towards her changed into a slight form of admiration as they realized the captain was contemplating what she had said.""No, it's impossible. Even if we could reprogram the matter in the circuit panels and turn this ship into an amplified radio wave transmitter, it would take a genius to return the circuit panels back to normal. We would become sitting ducks, drifting helplessly out into outer space. By the time the space station received our signal and sent a rescue party, we would be nowhere in sight.""""We don't need a genius,"" Shiranna said. ""We just need Cheeky."" The captain furrowed his brow as Shiranna grabbed Cheeky and held him out in front of her.""What's a Cheeky?"" the captain asked, staring at the little owl-featured robot.""He's a personalized artificially intelligent robot,"" Shiranna said. Her heart filled with pride."
499;16/06/2018 22:43;250;2;23;0;98;2;1;Casual consequence;Why is every adult trying to shake her hand?;because she became a hero.;1;1;1;"Shiranna could barely make sense of what the captain was asking and only because turning the shuttle into an amplified radio wave transmitter was her idea.…""We need to turn this ship into a giant solenoid,"" Shiranna said. All of the adults looked at her like she was mad. Most of them had no idea what a solenoid was or if it was even a real word.…Shiranna watched as the adults' attitudes towards her changed into a slight form of admiration as they realized the captain was contemplating what she had said.""No, it's impossible. Even if we could reprogram the matter in the circuit panels and turn this ship into an amplified radio wave transmitter, it would take a genius to return the circuit panels back to normal. We would become sitting ducks, drifting helplessly out into outer space. By the time the space station received our signal and sent a rescue party, we would be nowhere in sight.""""We don't need a genius,"" Shiranna said. ""We just need Cheeky."" The captain furrowed his brow as Shiranna grabbed Cheeky and held him out in front of her.""What's a Cheeky?"" the captain asked, staring at the little owl-featured robot.""He's a personalized artificially intelligent robot,"" Shiranna said. Her heart filled with pride. The captain poked Cheeky in his belly. Shiranna thought she saw a spark of wonder in his eyes.…Shiranna could barely make sense of what the captain was asking and only because turning the shuttle into an amplified radio wave transmitter was her idea.….""If this works, kid, you're going to be a hero,"" he said.…The Intersolar Space Station was coming into view. It had been nine hours since the rescue team had found their shuttle. Every adult was trying to shake her hand."
578;16/06/2018 23:01;250;2;40;0;98;2;2;Instrument;What causes seasons to occur on Earth?;when hemisphere tilte directly towards the Sun;1;1;1;"As you already know, on the Earth there are four seasons,"" Mr. Mosby said. ""What you might not know is the Earth's seasons are caused by a twenty-three-and-a-half degree tilt of the Earth's axis which, at certain times during the year, causes one hemisphere of the Earth to receive more direct sunlight than the other. You see, as the Earth revolves around the Sun, sometimes the Northern Hemisphere will tilt directly towards the Sun and sometimes the Southern Hemisphere will tilt directly towards the sun. Whichever hemisphere is tilting directly towards the Sun experiences a summer season while the other hemisphere experiences a winter season.""""You said at certain times,"" Adam said. ""Does that mean there are occasions when neither hemisphere is tilted towards the Sun?"" Mr. Mosby patted his son on the back.""That's my boy,"" he said. ""Yes! You're right. When neither hemisphere is tilted directly towards the sun, both hemispheres receive about the same amount of sunlight and experience either an autumn or a spring season."""
663;15/06/2018 10:00;240;2;54;0;98;1;1;Character emotional reaction;How does Shiranna feel about the zoo?;She thought is was kinda fun but she wanted to be alone with Adam and Cheeky;1;1;1;The zoo was kind of fun with the monkeys. A rather nice, though ancient, zookeeper, whose nameplate on her zoo uniform said Mrs. Smith, was using a long net to try to remove a jackknife from the monkey enclosure. Every time she got close to the knife, the monkeys grabbed the end of the net and tried to pull it into the enclosure, triggering a tug-a-war.
736;20/07/2018 09:41;256;2;61;0;98;2;1;casual antecedent;What is happening in the tunnel?;Water started to come out of the top to clean the grease off the tunnel walls.;1;1;1;"As if answering him, water started spraying out of the circular rubber tubes. Adam put his hands over his head. His hair and clothes were getting soaked. Shiranna stared at the puddles of water forming inside the tunnels. They were turning black, washing the grease off the walls. The ventilation system was cleaning itself. Shiranna watched the puddles absorb into one another. They were becoming larger. She looked again at the tubing along the tunnel's walls. She touched it.""It's water proof,"" she said. A terrifying revelation came to her.""Adam!"" she screamed, ""we have to get out of here! NOW!""Water started pouring down from the ceiling. Some of the grease splattered, getting into Adam's eyes.""I can't,"" he said. ""I can't see!""""Grab hold of your coat on top of Cheeky!"" Shiranna said. ""Cheeky, get us out of here or we're going to drown!"""
809;16/06/2018 23:41;250;2;86;0;98;1;1;State;How does Adam’s family structure differ from Shiranna’s family structure?;Adam's family was caring and perfect while Shiranna's family were busy. Her mom and dad left her for their jobs.;1;1;1;He was so close to his parents. Sometimes Shiranna felt like it held him back, but most of the time it made her jealous. His family was so perfect, and his parents were always there for him. She, on the other hand, had grown up without a father, half the time without a mother, and had spent the last five years living with her aunt who was too busy to pay her much attention because of the long hours she worked.
892;16/06/2018 02:21;246;2;90;0;98;2;2;Casual consequence;Will the journey to Venus will be short or long? Why do you think so? ;The journey to Venus will be long because it is far away from the Earth so the passengers will have to hibernate until they arrive.;1;1;1;After all, she would be in hibernation for almost the entire trip to Venus.